ts_ns,px,qty
1756086292300000000,113061.03,0.9520000000000001
1756086292400000000,113061.02,0.1
1756086292400000000,113061.02,0.1
1756086292449999872,113061.02,0.1
1756086292500000000,113061.02,0.1
1756086292600000000,113061.02,0.1
1756086292600000000,113061.02,0.1
1756086292649999872,113061.02,0.1
1756086292700000000,113061.02,0.1
1756086292800000000,113061.02,0.1
1756086292800000000,113061.02,0.1
1756086292849999872,113061.02,0.1
1756086292900000000,113061.01000000001,0.1
1756086293000000000,113060.99,0.1
1756086293000000000,113060.99,0.1
1756086293049999872,113060.99,0.1
1756086293100000000,113060.98,0.1
1756086293200000000,113060.98,0.1
1756086293200000000,113060.98,0.1
1756086293249999872,113060.98,0.1
1756086293300000000,113060.98,0.1
1756086293400000000,113060.98,0.1
1756086293400000000,113060.98,0.1
1756086293449999872,113060.98,0.1
1756086293500000000,113060.98,0.1
1756086293600000000,113060.98,0.1
1756086293600000000,113060.98,0.1
1756086293649999872,113060.98,0.1
1756086293700000000,113060.97,0.1
1756086293800000000,113060.96,0.1
1756086293800000000,113060.96,0.1
1756086293849999872,113060.96,0.1
1756086293900000000,113060.95,0.1
1756086294000000000,113060.93000000001,0.1
1756086294000000000,113060.93000000001,0.1
1756086294049999872,113060.93000000001,0.1
1756086294100000000,113060.92,0.1
1756086294200000000,113060.92,0.1
1756086294200000000,113060.92,0.1
1756086294249999872,113060.92,0.1
1756086294300000000,113060.92,0.1
1756086294400000000,113060.92,0.048
